6.10361E-09,1.40688E-06,-1.88907E-06
1.81888E-06,2.92058E-06,-1.68154E-06
1.66629E-06,2.7985E-06,-1.82498E-06
1.04067E-06,1.9379E-06,-4.57771E-07
1.7792E-06,2.0325E-06,1.67849E-07
3.21965E-06,1.12917E-06,6.86656E-07
-3.50958E-07,-2.81682E-06,-1.98367E-07
-9.21645E-07,-5.48409E-06,-2.21561E-06
-2.56352E-07,-5.39864E-06,-3.66522E-06
-4.57771E-08,-5.39254E-06,-4.71199E-06
-4.88289E-08,-3.75677E-06,-3.44244E-06
7.53796E-07,-3.17693E-06,-3.08843E-06
1.34279E-07,-1.93179E-06,-2.6154E-06
-7.81262E-07,-1.34279E-06,-1.57778E-06
-3.41192E-06,-3.13115E-06,-1.80667E-06
-2.90837E-06,-3.88495E-06,-1.93179E-06
-3.95514E-06,-6.3508E-06,-3.44854E-06
-4.87678E-06,-8.6244E-06,-3.59503E-06
-2.78019E-06,-8.34058E-06,-4.52583E-06
-2.76493E-06,-1.08186E-05,-5.45663E-06
-2.75578E-06,-1.12123E-05,-4.47395E-06
-3.01518E-06,-1.14565E-05,-4.71809E-06
-4.16266E-06,-1.44228E-05,-6.08835E-06
-5.25521E-06,-1.5903E-05,-5.70382E-06
-5.83505E-06,-1.70718E-05,-6.93675E-06
-5.79843E-06,-1.64981E-05,-7.04662E-06
-5.81979E-06,-1.45388E-05,-5.30098E-06
-4.72724E-06,-1.08919E-05,-3.87579E-06
-4.40681E-06,-9.23476E-06,-2.74357E-06
-4.32746E-06,-8.87465E-06,-2.01724E-06
-5.3193E-06,-6.80552E-06,-1.93484E-06
-4.18708E-06,-4.60822E-06,-1.2665E-06
-2.42924E-06,-2.93889E-06,-2.13321E-06
-1.93484E-06,-3.70489E-06,-2.63066E-06
-1.91958E-06,-2.26139E-06,-2.63676E-06
-1.62356E-06,-1.92874E-06,-3.08232E-06
-2.48112E-06,-2.05997E-06,-2.91142E-06
-2.64897E-06,3.35698E-08,-2.83207E-06
-3.35393E-06,3.66217E-08,-1.94095E-06
-3.60113E-06,4.15045E-07,-2.05081E-06
-3.80255E-06,-3.20439E-07,-2.87175E-06
-1.55947E-06,-1.40688E-06,-3.42412E-06
-2.81987E-06,-1.54726E-06,-2.20035E-06
-3.66217E-07,-6.19516E-07,-1.07729E-06
6.16464E-07,1.07729E-06,-1.27565E-06
2.77714E-07,1.89212E-07,1.12917E-07
